Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV309D,1007-9C,Canyon Earth,,Canyon Earth,Terre canyon,,Reds,26,175,129,114,AF8172,,0,26,35,31,FVUP1007-9C,Lowe's,
NV309E,1007-9B,Apache Clay,,Apache Clay,Argile apache,,Reds,19,155,112,99,9B7063,,0,28,36,39,FVUP1007-9B,Lowe's,
NV309F,1007-9A,Potter's Rock,,Potter's Rock,Roche potier,,Reds,11,123,81,69,7B5145,,0,34,44,52,FVUP1007-9A,Lowe's,
NV309G,2009-9,Western Brown,,Western Brown,Brun de l’Ouest,,Reds,7,105,65,52,694134,,0,38,50,59,FVUP2009-9,Lowe's,
NV310A,1007-10C,Honeysuckle Delight,,Honeysuckle Delight,Délice chèvrefeuille,,Reds,74,237,220,212,EDDCD4,,0,7,11,7,FVUP1007-10C,Lowe's,
NV310B,1008-10B,Rodeo Dust,,Rodeo Dust,Poussière de rodéo,,Reds,57,222,193,180,DEC1B4,,0,13,19,13,FVUP1008-10B,Lowe's,
NV310C,1008-10A,Naked Clay,,Naked Clay,Argile nue,,Reds,39,196,159,144,C49F90,,0,19,27,23,FVUP1008-10A,Lowe's,
NV310D,1008-9C,Western Ridge,,Western Ridge,Arête de l’Ouest,,Reds,29,178,138,121,B28A79,,0,22,32,30,FVUP1008-9C,Lowe's,
NV310E,1008-9B,Clay Dusk,,Clay Dusk,Crépuscule argile,,Reds,22,158,120,107,9E786B,,0,24,32,38,FVUP1008-9B,Lowe's,
NV310F,2001-9A,November Foliage,,November Foliage,Feuillage de novembre,,Reds,10,117,80,66,755042,,0,32,44,54,FVUP2001-9A,Lowe's,
NV310G,2009-10,Roasted Coffee,,Roasted Coffee,Café torréfié,,Reds,6,94,61,47,5E3D2F,,0,35,50,63,FVUP2009-10,Lowe's,
NV311A,2002-8C,Morning Glow,,Morning Glow,Lueur matinale,,Reds,68,240,209,195,F0D1C3,,0,13,19,6,FVUP2002-8C,Lowe's,
NV311B,2002-8B,Shy Time,,Shy Time,Timidité,,Reds,51,224,180,162,E0B4A2,,0,20,28,12,FVUP2002-8B,Lowe's,
NV311C,2003-8A,Arizona Dust,,Arizona Dust,Poussière d'Arizona,,Reds,45,220,167,143,DCA78F,,0,24,35,14,FVUP2003-8A,Lowe's,
NV311D,2003-7C,Kitchen Terra Cotta,,Kitchen Terra Cotta,Cuisine terre cuite,,Reds,28,190,129,106,BE816A,,0,32,44,25,FVUP2003-7C,Lowe's,
NV311E,2003-7B,Deep Clay Red,,Deep Clay Red,Rouge argile foncée,,Reds,17,164,98,77,A4624D,,0,40,53,36,FVUP2003-7B,Lowe's,
NV311F,2002-7A,Rusted Earth,,Rusted Earth,Terre rouille,,Reds,10,135,73,51,874933,,0,46,62,47,FVUP2002-7A,Lowe's,
NV311G,2003-7A,Chocolate Cherry,,Chocolate Cherry,Cerise au chocolat,,Reds,8,123,66,50,7B4232,,0,46,59,52,FVUP2003-7A,Lowe's,
NV312A,2001-10C,Santa Fe Spirit,,Santa Fe Spirit,Esprit de Santa Fe,,Oranges,75,237,222,211,EDDED3,,0,6,11,7,FVUP2001-10C,Lowe's,
NV312B,8003-12B,Home and Hearth,,Home and Hearth,Chaleur du foyer,,Oranges,71,237,215,201,EDD7C9,,0,9,15,7,FNVL3017_2,Lowe's,
NV312C,8003-12C,Misty Loch,,Misty Loch,Loch brumeux,,Oranges,61,232,199,180,E8C7B4,,0,14,22,9,FNVL3017_3,Lowe's,
NV312D,2005-8A,Mojave Sunset,,Mojave Sunset,Coucher de soleil du Mojave,,Oranges,47,219,173,147,DBAD93,,0,21,33,14,FVUP2005-8A,Lowe's,
NV312E,2005-7C,Desert Carnation,,Desert Carnation,Œillet du désert,,Oranges,33,196,144,114,C49072,,0,27,42,23,FVUP2005-7C,Lowe's,
NV312F,2005-7B,Terra Cotta Trail,,Terra Cotta Trail,Sentier terre cuite,,Oranges,24,177,120,87,B17857,,0,32,51,31,FVUP2005-7B,Lowe's,
NV312G,2004-7A,Italian Roast,,Italian Roast,Rôti italien,,Oranges,13,141,91,65,8D5B41,,0,35,54,45,FVUP2004-7A,Lowe's,
NV313A,2005-6C,Subtle Suede,,Subtle Suede,Suède subtile,,Oranges,77,247,223,202,F7DFCA,,0,10,18,3,FVUP2005-6C,Lowe's,
NV313B,2006-6C,French Cream,,French Cream,Crème française,,Oranges,70,244,213,190,F4D5BE,,0,13,22,4,FVUP2006-6C,Lowe's,
NV313C,2006-6B,Southern Peach,,Southern Peach,Pêche du Sud,,Oranges,57,232,190,158,E8BE9E,,0,18,32,9,FVUP2006-6B,Lowe's,
NV313D,2006-5C,Sweet Cardamom,,Sweet Cardamom,Cardamome sucrée,,Oranges,38,212,154,113,D49A71,,0,27,47,17,FVUP2006-5C,Lowe's,
NV313E,2005-5B,Copper Hide,,Copper Hide,Peau cuivrée,,Oranges,27,190,129,88,BE8158,,0,32,54,25,FVUP2005-5B,Lowe's,
NV313F,3010-7,Pale Cordovan,,Pale Cordovan,Cordovan pâle,,Oranges,17,158,99,62,9E633E,,0,37,61,38,FVUP3010-7,Lowe's,
NV313G,3011-7,Sienna Red,,Sienna Red,Rouge de Sienne,,Oranges,14,148,91,61,945B3D,,0,39,59,42,FVUP3011-7,Lowe's,
NV314A,2006-8C,Simply Subtle Pink,,Simply Subtle Pink,Rose simplement subtile,,Oranges,67,231,211,195,E7D3C3,,0,9,16,9,FVUP2006-8C,Lowe's,
NV314B,2004-8B,Mesa Sand,,Mesa Sand,Sable de mesa,,Oranges,53,221,186,161,DDBAA1,,0,16,27,13,FVUP2004-8B,Lowe's,
NV314C,2004-8A,Vienna Beige,,Vienna Beige,Beige de Vienne,,Oranges,39,204,159,128,CC9F80,,0,22,37,20,FVUP2004-8A,Lowe's,
NV314D,2004-7C,Coffee Gelato,,Coffee Gelato,Gelato au café,,Oranges,29,184,137,107,B8896B,,0,26,42,28,FVUP2004-7C,Lowe's,
NV314E,2007-7B,Rustic Oak,,Rustic Oak,Chêne rustique,,Oranges,22,165,119,88,A57758,,0,28,47,35,FVUP2007-7B,Lowe's,
NV314F,2007-7A,Rustic Earth,,Rustic Earth,Terre rustique,,Oranges,15,140,97,73,8C6149,,0,31,48,45,FVUP2007-7A,Lowe's,
NV314G,3010-8,Cowboy Hat,,Pain Au Chocolat,Chocolatine,,Oranges,8,109,73,52,6D4934,,0,33,52,57,FVUP3010-8,Lowe's,
NV315A,2007-8C,Cake Batter,,Cake Batter,Pâte à gâteau,,Oranges,73,237,218,201,EDDAC9,,0,8,15,7,FVUP2007-8C,Lowe's,
NV315B,2008-8C,Strawberry Malt,,Strawberry Malt,Malt à la fraise,,Oranges,63,229,204,182,E5CCB6,,0,11,21,10,FVUP2008-8C,Lowe's,
NV315C,2008-8B,Maple Leaf,,Maple Leaf,Feuille d'érable,,Oranges,46,206,175,147,CEAF93,,0,15,29,19,FVUP2008-8B,Lowe's,
NV315D,2008-8A,Friendly Tan,,Friendly Tan,Bronzage sympathique,,Oranges,35,194,152,117,C29875,,0,22,40,24,FVUP2008-8A,Lowe's,
NV315E,2008-7C,Café Miel,,Café Miel,Café au miel,,Oranges,28,180,135,101,B48765,,0,25,44,29,FVUP2008-7C,Lowe's,
NV315F,2008-7B,Standing Still,,Standing Still,Immobile,,Oranges,15,140,99,67,8C6343,,0,29,52,45,FVUP2008-7B,Lowe's,
NV315G,3011-8,Dark Earth,,Dark Earth,Terre foncée,,Oranges,8,104,73,48,684930,,0,30,54,59,FVUP3011-8,Lowe's,
NV316A,3002-8C,Subtle Blush,,Subtle Blush,Fard subtil,,Oranges,78,243,225,205,F3E1CD,,0,7,16,5,FVUP3002-8C,Lowe's,
NV316B,3002-8B,Bread Basket,,Bread Basket,Corbeille à pain,,Oranges,66,237,207,178,EDCFB2,,0,13,25,7,FVUP3002-8B,Lowe's,
NV316C,8003-16C,Sunswept Sand,3002-8A Sun Tan,Sunswept Sand,Sable ensoleillé,,Oranges,51,222,181,142,DEB58E,,0,18,36,13,FVUP3002-8A,Lowe's,
NV316D,3002-7C,Pale Blush,,Pale Blush,Fard pâle,,Oranges,36,201,152,112,C99870,,0,24,44,21,FVUP3002-7C,Lowe's,
NV316E,3002-7B,Gleaming Tan,,Gleaming Tan,Bronzage étincelant,,Oranges,26,179,129,89,B38159,,0,28,50,30,FVUP3002-7B,Lowe's,
NV316F,3002-7A,Chestnut Beach,,Chestnut Beach,Plage châtaigne,,Oranges,17,154,105,68,9A6944,,0,32,56,40,FVUP3002-7A,Lowe's,
NV316G,2008-7A,Natural Cork,,Natural Cork,Liège naturel,,Oranges,13,137,92,61,895C3D,,0,33,55,46,FVUP2008-7A,Lowe's,
NV317A,8003-17A,Nougat,,Nougat,Nougat,,Oranges,79,243,228,209,F3E4D1,,0,6,14,5,FNVL3023_1,Lowe's,
NV317B,3004-10B,Holmes Cream,,Holmes Cream,Crème Holmes,,Oranges,58,223,197,169,DFC5A9,,0,12,24,13,FVUP3004-10B,Lowe's,
