Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV101A,4002-9A,Purple Mist,,Purple Mist,Brume violette,,Purples,72,227,218,232,E3DAE8,,2,6,0,9,FVUP4002-9A,Lowe's,
NV101B,4002-9B,Whipped Plum,,Whipped Plum,Prune fouettée,,Purples,64,218,206,226,DACEE2,,4,9,0,11,FVUP4002-9B,Lowe's,
NV101C,4002-9C,Purple Whisper,,Purple Whisper,Rumeur violette,,Purples,59,213,195,225,D5C3E1,,5,13,0,12,FVUP4002-9C,Lowe's,
NV101D,4002-10A,Purple Gala,,Purple Gala,Gala violet,,Purples,39,185,158,205,B99ECD,,10,23,0,20,FVUP4002-10A,Lowe's,
NV101E,4002-10B,Plum Burst,,Plum Burst,Éclat de prune,,Purples,24,153,123,181,997BB5,,15,32,0,29,FVUP4002-10B,Lowe's,
NV101F,4002-10C,Sonic Plum,,Sonic Plum,Prune sonique,,Purples,11,119,80,139,77508B,,14,42,0,45,FVUP4002-10C,Lowe's,
NV101G,8001-1G,Amethyst Ice,,Amethyst Ice,Glace améthyste,,Purples,10,115,70,130,734682,,12,46,0,49,FNVL1001_7,Lowe's,
NV102A,4001-9B,Simply Lavender,,Simply Lavender,Simplement lavande,,Purples,68,227,209,228,E3D1E4,,0,8,0,11,FVUP4001-9B,Lowe's,
NV102B,4001-9C,Lavender Quartz,,Lavender Quartz,Quartz lavande,,Purples,59,220,193,221,DCC1DD,,0,13,0,13,FVUP4001-9C,Lowe's,
NV102C,4001-10A,Plink,,Plink,Violet-rose,,Purples,44,202,166,207,CAA6CF,,2,20,0,19,FVUP4001-10A,Lowe's,
NV102D,4001-10B,Berries Galore,,Berries Galore,Baies abondantes,,Purples,27,171,125,178,AB7DB2,,4,30,0,30,FVUP4001-10B,Lowe's,
NV102E,8001-2E,Pishposh,,Pishposh,Abracadabrant,,Purples,20,150,110,156,966E9C,,4,29,0,39,FCLD_48_6,Lowe's,
NV102F,4001-10C,Cosmic Berry,,Cosmic Berry,Baie cosmique,,Purples,11,126,72,131,7E4883,,4,45,0,49,FVUP4001-10C,Lowe's,
NV102G,8001-2G,Comtesse,,Comtesse,Comtesse,,Purples,6,99,53,112,633570,,12,53,0,56,FNVL1002_7,Lowe's,
NV103A,1002-4C,Cascadia,,Cascadia,Cascadia,,Pinks,77,242,222,235,F2DEEB,,0,8,3,5,FVUP1002-4C,Lowe's,
NV103B,1001-2B,Pink Odyssey,,Pink Odyssey,Odyssée rose,,Pinks,70,241,209,228,F1D1E4,,0,13,5,5,FVUP1001-2B,Lowe's,
NV103C,1001-2A,Magic Wand,,Magic Wand,Baguette magique,,Pinks,57,233,184,217,E9B8D9,,0,21,7,9,FVUP1001-2A,Lowe's,
NV103D,1001-1C,Pink Plunge,,Pink Plunge,Plongeon rose,,Pinks,46,224,161,205,E0A1CD,,0,28,8,12,FVUP1001-1C,Lowe's,
NV103E,1001-1B,Raspberry Sorbet,,Raspberry Sorbet,Sorbet à la framboise,,Pinks,30,207,121,177,CF79B1,,0,42,14,19,FVUP1001-1B,Lowe's,
NV103F,1001-1A,Cosmic Pink,,Cosmic Pink,Rose cosmique,,Pinks,24,197,100,160,C564A0,,0,49,19,23,FVUP1001-1A,Lowe's,
NV103G,8001-3G,Pink Pizzazz,,Pink Pizzazz,Prestance rose,,Pinks,15,172,75,126,AC4B7E,,0,56,27,33,FNVL1004_7,Lowe's,
NV104A,1001-2C,Pink Mist,,Pink Mist,Brume rose,,Pinks,80,245,226,234,F5E2EA,,0,8,4,4,FVUP1001-2C,Lowe's,
NV104B,1002-2B,Pink Quartz,,Pink Quartz,Quartz rose,,Pinks,63,241,197,215,F1C5D7,,0,18,11,5,FVUP1002-2B,Lowe's,
NV104C,1002-2A,Pink Frenzy,,Pink Frenzy,Frénésie rose,,Pinks,48,234,164,191,EAA4BF,,0,30,18,8,FVUP1002-2A,Lowe's,
NV104D,1002-1C,Berry Twist,,Berry Twist,Torsion de baies,,Pinks,33,212,131,166,D483A6,,0,38,22,17,FVUP1002-1C,Lowe's,
NV104E,1002-1B,Rose Dust,,Rose Dust,Poussière de rose,,Pinks,23,200,97,144,C86190,,0,52,28,22,FVUP1002-1B,Lowe's,
NV104F,1002-1A,Very Berry,,Very Berry,Très baie,,Pinks,16,183,71,110,B7476E,,0,61,40,28,FVUP1002-1A,Lowe's,
NV104G,8001-4G,Perfect Pout,,Perfect Pout,Moue parfaite,,Pinks,9,162,31,78,A21F4E,,0,81,52,36,FNVL1005_7,Lowe's,
NV105A,4001-9A,Lavender Moon,,Lavender Moon,Lune de lavande,,Pinks,83,246,232,236,F6E8EC,,0,6,4,4,FVUP4001-9A,Lowe's,
NV105B,1003-2C,Utterly Pink,,Utterly Pink,Complètement rose,,Pinks,75,248,217,227,F8D9E3,,0,13,8,3,FVUP1003-2C,Lowe's,
NV105C,1003-2B,Pink Destiny,,Pink Destiny,Destinée rose,,Pinks,66,246,200,217,F6C8D9,,0,19,12,4,FVUP1003-2B,Lowe's,
NV105D,1003-2A,Hushed Rose,,Hushed Rose,Rose feutré,,Pinks,53,240,174,196,F0AEC4,,0,28,18,6,FVUP1003-2A,Lowe's,
NV105E,1003-1C,Positively Pink,,Positively Pink,Réellement rose,,Pinks,43,235,151,178,EB97B2,,0,36,24,8,FVUP1003-1C,Lowe's,
NV105F,1003-1B,Frosty Berry,,Frosty Berry,Baie givrée,,Pinks,29,221,111,146,DD6F92,,0,50,34,13,FVUP1003-1B,Lowe's,
NV105G,8001-5G,Glorious,,Glorious,Glorieux,,Pinks,16,188,70,102,BC4666,,0,63,46,26,FNVL1007_7,Lowe's,
NV106A,1004-2C,Pixie Dust,,Pixie Dust,Poudre de fée,,Pinks,80,249,226,231,F9E2E7,,0,9,7,2,FVUP1004-2C,Lowe's,
NV106B,1007-4B,Hello Dolly,,Hello Dolly,Allo Dolly,,Pinks,69,245,207,217,F5CFD9,,0,16,11,4,FVUP1007-4B,Lowe's,
NV106C,1007-4A,Prom Pink,,Prom Pink,Bal en rose,,Pinks,57,237,185,198,EDB9C6,,0,22,16,7,FVUP1007-4A,Lowe's,
NV106D,1007-3C,Second Blush,,Second Blush,Joue fardée,,Pinks,43,232,154,172,E89AAC,,0,34,26,9,FVUP1007-3C,Lowe's,
NV106E,1007-3B,Reflecting Rose,,Reflecting Rose,Rose réflexion,,Pinks,30,214,121,141,D6798D,,0,43,34,16,FVUP1007-3B,Lowe's,
NV106F,8001-6F,Mon Cher Ami,,Mon Cher Ami,Mon cher ami,,Reds,17,191,74,96,BF4A60,,0,61,50,25,FPL02_12,Lowe's,
NV106G,8001-6G,Fire-Breathing Dragon,,Fire-Breathing Dragon,Dragon cracheur de feu,,Reds,11,171,49,72,AB3148,,0,71,58,33,FPL02_13,Lowe's,
NV107A,1007-4C,Art Deco Pink,,Art Deco Pink,Rose art déco,,Pinks,76,249,219,226,F9DBE2,,0,12,9,2,FVUP1007-4C,Lowe's,
NV107B,1005-2B,Rosy Cheeks,,Rosy Cheeks,Joues roses,,Pinks,68,249,203,216,F9CBD8,,0,18,13,2,FVUP1005-2B,Lowe's,
NV107C,1004-2A,Harmonious Rose,,Harmonious Rose,Rose harmonieux,,Pinks,45,241,153,177,F199B1,,0,37,27,5,FVUP1004-2A,Lowe's,
NV107D,1004-1C,Iced Berry,,Iced Berry,Baie glacée,,Pinks,33,231,120,147,E77893,,0,48,36,9,FVUP1004-1C,Lowe's,
NV107E,1004-1B,Hint of Cherry,,Hint of Cherry,Soupçon de cerise,,Pinks,25,220,96,122,DC607A,,0,56,45,14,FVUP1004-1B,Lowe's,
NV107F,8001-7F,Con Brio,,Con Brio,Con Brio,,Reds,11,173,39,63,AD273F,,0,77,64,32,FNVL1009_6,Lowe's,
NV107G,1011-3,Quite Red,,Quite Red,Rouge calme,,Reds,7,147,22,31,93161F,,0,85,79,42,FVUP1011-3,Lowe's,
NV108A,1005-2C,Pink Ribbon,,Pink Ribbon,Ruban rose,,Pinks,78,249,222,229,F9DEE5,,0,11,8,2,FVUP1005-2C,Lowe's,
NV108B,1004-2B,Sweet Pink,,Sweet Pink,Rose doux,,Pinks,67,249,202,213,F9CAD5,,0,19,14,2,FVUP1004-2B,Lowe's,
NV108C,1005-2A,Pink Flutter,,Pink Flutter,Pulsation rose,,Pinks,54,246,174,191,F6AEBF,,0,29,22,4,FVUP1005-2A,Lowe's,
NV108D,8001-8D,Petal Power,1005-1C Flower Girl,Petal Power,Pouvoir des pétales,,Pinks,43,243,147,169,F393A9,,0,40,30,5,FVUP1005-1C,Lowe's,
NV108E,1005-1B,So Charming,,So Charming,Si charmant,,Pinks,33,235,118,143,EB768F,,0,50,39,8,FVUP1005-1B,Lowe's,
NV108F,1004-1A,Berry Blush,,Berry Blush,Fard aux baies,,Reds,14,185,62,78,B93E4E,,0,66,58,27,FVUP1004-1A,Lowe's,
NV108G,1009-4,Cut Ruby,,Cut Ruby,Rubis taillé,,Reds,6,138,24,31,8A181F,,0,83,78,46,FVUP1009-4,Lowe's,
NV109A,8001-9A,Eliza Jane,,Eliza Jane,Tellement en vogue,,Pinks,78,246,223,227,F6DFE3,,0,9,8,4,FCLD_2_2,Lowe's,
NV109B,8001-9B,Cat Nose,,Cat Nose,Museau de chat,,Pinks,65,240,202,205,F0CACD,,0,16,15,6,FNVL1011_2,Lowe's,
NV109C,8001-9C,Candy Floss,,Candy Floss,Soie bonbon,,Pinks,54,242,178,184,F2B2B8,,0,26,24,5,FNVL1011_3,Lowe's,
NV109D,8001-9D,Strawberry Moon,,Strawberry Moon,Lune à la fraise,,Pinks,37,225,141,148,E18D94,,0,37,34,12,FNVL1011_4,Lowe's,
NV109E,8001-9E,Trout Pout,,Trout Pout,Moue truite,,Reds,22,198,97,106,C6616A,,0,51,46,22,FNVL1011_5,Lowe's,
NV109F,1007-3A,Sienna Dust,,Sienna Dust,Poussière de Sienne,,Reds,15,178,74,85,B24A55,,0,58,52,30,FVUP1007-3A,Lowe's,
NV109G,8001-9G,Très Bien,,Très Bien,Très bien,,Reds,10,168,46,51,A82E33,,0,73,70,34,FPL04_15,Lowe's,
NV110A,8001-10A,In Your Dreams,,In Your Dreams,Dans vos rêves,,Pinks,76,246,221,222,F6DDDE,,0,10,10,4,FCLD_3_2,Lowe's,
NV110B,8001-10B,Icing on the Cake,,Icing on the Cake,Glaçage à gâteau,,Pinks,68,249,205,207,F9CDCF,,0,18,17,2,FPL01_04,Lowe's,
NV110C,1006-2A,Sweet Sixteen,,Sweet Sixteen,Seize ans,,Pinks,45,243,154,164,F39AA4,,0,37,33,5,FVUP1006-2A,Lowe's,
NV110D,1006-1C,Poppy Field,,Poppy Field,Champ de coquelicot,,Pinks,35,231,130,135,E78287,,0,44,42,9,FVUP1006-1C,Lowe's,
NV110E,1006-1B,Passion Pink,,Passion Pink,Rose passion,,Pinks,27,226,101,109,E2656D,,0,55,52,11,FVUP1006-1B,Lowe's,
NV110F,1006-1A,Whipped Strawberry,,Whipped Strawberry,Fraise fouettée,,Reds,17,200,64,76,C8404C,,0,68,62,22,FVUP1006-1A,Lowe's,
NV110G,1009-2,Classic Red,,Classic Red,Rouge classique,,Reds,10,176,33,42,B0212A,,0,81,76,31,FVUP1009-2,Lowe's,
NV111A,8001-11A,Pink Bangles,,Pink Bangles,Rose bracelet,,Pinks,73,250,214,212,FAD6D4,,0,14,15,2,FNVL1013_1,Lowe's,
NV111B,1006-2B,Warm Pink,,Warm Pink,Rose chaleureux,,Pinks,67,251,202,199,FBCAC7,,0,20,21,2,FVUP1006-2B,Lowe's,
NV111C,1007-2A,Antique Coral,,Antique Coral,Corail antique,,Reds,44,238,155,152,EE9B98,,0,35,36,7,FVUP1007-2A,Lowe's,
NV111D,1007-1C,Powder Peach,,Powder Peach,Pêche poudreuse,,Reds,33,226,128,123,E2807B,,0,43,46,11,FVUP1007-1C,Lowe's,
NV111E,1007-1B,Rouge Red,,Rouge Red,Rouge rojo,,Reds,29,223,114,109,DF726D,,0,49,51,13,FVUP1007-1B,Lowe's,
NV111F,1009-1,Oh So Red,,Oh So Red,Si rouge,,Reds,14,191,57,52,BF3934,,0,70,73,25,FVUP1009-1,Lowe's,
NV111G,1010-1,Red Bliss,,Red Bliss,Régal rouge,,Reds,16,208,55,57,D03739,,0,74,73,18,FVUP1010-1,Lowe's,
NV112A,8001-12A,Dash of Pink,1008-2C Baby Blush,Dash of Pink,Touche de rose,,Reds,74,251,216,212,FBD8D4,,0,14,16,2,FVUP1008-2C,Lowe's,
NV112B,1008-2B,Peach Whisper,,Peach Whisper,Rumeur pêche,,Pinks,63,250,194,190,FAC2BE,,0,22,24,2,FVUP1008-2B,Lowe's,
NV112C,1008-2A,Peach Punch,,Peach Punch,Punch à la pêche,,Pinks,53,248,173,168,F8ADA8,,0,30,32,3,FVUP1008-2A,Lowe's,
NV112D,1008-1C,Peach Burst,,Peach Burst,Éclat pêche,,Reds,43,245,148,145,F59491,,0,40,41,4,FVUP1008-1C,Lowe's,
NV112E,1008-1B,Sweet Melon,,Sweet Melon,Melon d’eau sucré,,Reds,33,237,123,118,ED7B76,,0,48,50,7,FVUP1008-1B,Lowe's,
NV112F,1008-1A,Blaze Orange,,Blaze Orange,Orange flamboyante,,Reds,24,226,91,79,E25B4F,,0,60,65,11,FVUP1008-1A,Lowe's,
NV112G,1011-1,Scarlet Sun,,Scarlet Sun,Soleil écarlate,,Reds,18,214,61,43,D63D2B,,0,71,80,16,FVUP1011-1,Lowe's,
NV113A,2003-4C,Snow Pa,,Snow Pa,Rose neigeux,,Oranges,74,252,215,204,FCD7CC,,0,15,19,1,FVUP2003-4C,Lowe's,
NV113B,2004-4B,Crystal Coral,,Crystal Coral,Corail de cristal,,Oranges,69,252,207,193,FCCFC1,,0,18,23,1,FVUP2004-4B,Lowe's,
NV113C,8001-13C,Crushed Grapefruit,V043-3 Girl Crush,Crushed Grapefruit,Pamplemousse broyé,,Oranges,57,247,183,170,F7B7AA,,0,26,31,3,FNVL1016_3,Lowe's,
NV113D,2004-4A,Coral Reef,,Coral Reef,Récif corallien,,Oranges,47,249,159,140,F99F8C,,0,36,44,2,FVUP2004-4A,Lowe's,
NV113E,2004-3C,Desert Rose,,Desert Rose,Rose du désert,,Oranges,37,233,140,118,E98C76,,0,40,49,9,FVUP2004-3C,Lowe's,
NV113F,2004-3B,Flamenco Pink,,Flamenco Pink,Rose flamenco,,Oranges,28,221,112,90,DD705A,,0,49,59,13,FVUP2004-3B,Lowe's,
NV113G,2004-3A,Terra Cotta Red,,Terra Cotta Red,Rouge terre cuite,,Oranges,17,196,76,56,C44C38,,0,61,71,23,FVUP2004-3A,Lowe's,
NV114A,2004-4C,Champagne Pink,,Champagne Pink,Champagne rosé,Popular,Oranges,80,250,227,218,FAE3DA,,0,9,13,2,FVUP2004-4C,Lowe's,
NV114B,2001-2B,Coral Mist,,Coral Mist,Brume de corail,,Oranges,69,253,206,193,FDCEC1,,0,19,24,1,FVUP2001-2B,Lowe's,
NV114C,2001-2A,Simply Coral,,Simply Coral,Simplement corail,,Oranges,52,251,172,149,FBAC95,,0,31,41,2,FVUP2001-2A,Lowe's,
NV114D,2001-1C,Poppy Petal,,Poppy Petal,Pétale de coquelicot,,Oranges,45,249,155,131,F99B83,,0,38,47,2,FVUP2001-1C,Lowe's,
NV114E,2001-1B,Coral Passion,,Coral Passion,Passion corail,,Oranges,36,241,132,110,F1846E,,0,45,54,5,FVUP2001-1B,Lowe's,
NV114F,2001-1A,Autumn Enchantment,,Autumn Enchantment,Enchantement automnal,,Oranges,26,231,99,68,E76344,,0,57,71,9,FVUP2001-1A,Lowe's,
NV114G,8001-14G,Steelhead Redd,,Steelhead Redd,Rouge truite arc-en-ciel,,Oranges,15,195,61,37,C33D25,,0,69,81,24,FNVL1017_7,Lowe's,
NV115A,2002-2C,Peach Kiss,,Peach Kiss,Baiser à la pêche,,Oranges,80,252,226,207,FCE2CF,,0,10,18,1,FVUP2002-2C,Lowe's,
NV115B,2002-2B,Whipped Peach,,Whipped Peach,Pêche fouettée,,Oranges,72,254,212,188,FED4BC,,0,17,26,0,FVUP2002-2B,Lowe's,
NV115C,2006-4B,Peach Encounter,,Peach Encounter,Rencontre pêche,,Oranges,65,254,199,165,FEC7A5,,0,22,35,0,FVUP2006-4B,Lowe's,
NV115D,2002-1C,Ripe Melon,,Ripe Melon,Melon mûr,,Oranges,47,252,159,116,FC9F74,,0,37,54,1,FVUP2002-1C,Lowe's,
NV115E,2002-1B,Orange Slice,,Orange Slice,Tranche d’orange,,Oranges,36,244,131,87,F48357,,0,46,64,4,FVUP2002-1B,Lowe's,
NV115F,8001-15F,Fiery Sky,,Fiery Sky,Ciel embrasé,,Oranges,31,240,115,70,F07346,,0,52,71,6,FNVL1018_6,Lowe's,
NV115G,2002-1A,Autumn Blaze,,Autumn Blaze,Éclat automnal,,Oranges,24,229,91,43,E55B2B,,0,60,81,10,FVUP2002-1A,Lowe's,
NV116A,2003-8C,Subtle Peach,,Subtle Peach,Pêche subtile,,Oranges,81,251,229,210,FBE5D2,,0,9,16,2,FVUP2003-8C,Lowe's,
NV116B,2003-2B,Coral Gable,,Coral Gable,Pignon corail,,Oranges,66,255,201,163,FFC9A3,,0,21,36,0,FVUP2003-2B,Lowe's,
NV116C,2003-2A,Sassy Peach,,Sassy Peach,Pêche fougueuse,,Oranges,55,255,179,132,FFB384,,0,30,48,0,FVUP2003-2A,Lowe's,
NV116D,2003-1C,Warm Cider,,Warm Cider,Cidre chaud,,Oranges,50,248,170,119,F8AA77,,0,31,52,3,FVUP2003-1C,Lowe's,
NV116E,2003-1B,Orange Pecan,,Orange Pecan,Pacane et orange,,Oranges,41,243,149,98,F39562,,0,39,60,5,FVUP2003-1B,Lowe's,
NV116F,2003-1A,Autumn Glimmer,,Autumn Glimmer,Lueur automnale,,Oranges,32,236,121,60,EC793C,,0,49,75,7,FVUP2003-1A,Lowe's,
NV116G,2010-2,Island Orange,,Island Orange,Orange des îles,,Oranges,27,234,99,19,EA6313,,0,58,92,8,FVUP2010-2,Lowe's,
NV117A,2007-4C,Orange Sparkle,,Orange Sparkle,Scintillement orange,,Oranges,82,251,230,208,FBE6D0,,0,8,17,2,FVUP2007-4C,Lowe's,
NV117B,2007-4B,Champagne Orange,,Champagne Orange,Champagne orange,,Oranges,76,255,220,181,FFDCB5,,0,14,29,0,FVUP2007-4B,Lowe's,
NV117C,2007-4A,Orange Mousse,,Orange Mousse,Mousse à l'orange,,Oranges,66,255,201,153,FFC999,,0,21,40,0,FVUP2007-4A,Lowe's,
NV117D,2007-3C,Tangerine Cream,,Tangerine Cream,Crème de mandarine,,Oranges,54,254,177,117,FEB175,,0,30,54,0,FVUP2007-3C,Lowe's,
NV117E,2007-3B,Brushed Orange,,Brushed Orange,Orange brossé,,Oranges,42,247,151,81,F79751,,0,39,67,3,FVUP2007-3B,Lowe's,
NV117F,2007-3A,Carrot Cake,,Carrot Cake,Gâteau à la carotte,,Oranges,35,238,132,65,EE8441,,0,45,73,7,FVUP2007-3A,Lowe's,
NV117G,8001-17G,Sandy Peppers,,Sandy Peppers,Piments sablés,,Oranges,28,222,114,49,DE7231,,0,49,78,13,FPL08_13,Lowe's,
NV118A,3001-6C,Natural Sheepskin,,Natural Sheepskin,Peau de mouton naturelle,,Oranges,82,252,231,202,FCE7CA,,0,8,20,1,FVUP3001-6C,Lowe's,
NV118B,2007-2B,Whipped Apricot,,Whipped Apricot,Abricot fouetté,,Oranges,71,255,210,147,FFD293,,0,18,42,0,FVUP2007-2B,Lowe's,
NV118C,2007-2A,Cantaloupe Smile,,Cantaloupe Smile,Sourire de cantaloup,,Oranges,62,255,193,111,FFC16F,,0,24,56,0,FVUP2007-2A,Lowe's,
NV118D,2007-1C,Orange Toffee,,Orange Toffee,Caramel orange,,Oranges,57,255,184,97,FFB861,,0,28,62,0,FVUP2007-1C,Lowe's,
NV118E,2007-1B,Pumpkin Butter,,Pumpkin Butter,Beurre de citrouille,,Oranges,51,255,170,62,FFAA3E,,0,33,76,0,FVUP2007-1B,Lowe's,
NV118F,2008-1A,Monarch Wing,,Monarch Wing,Aile de monarque,,Oranges,44,254,154,32,FE9A20,,0,39,87,0,FVUP2008-1A,Lowe's,
NV118G,2011-1,Orange Fruit,,Orange Fruit,Fruit orange,,Oranges,39,252,137,1,FC8901,,0,46,100,1,FVUP2011-1,Lowe's,
NV119A,3004-6C,Evening Sun,,Evening Sun,Soleil couchant,,Oranges,81,253,229,194,FDE5C2,,0,9,23,1,FVUP3004-6C,Lowe's,
NV119B,3002-4B,Apricot Mousse,,Apricot Mousse,Mousse d'abricot,,Oranges,76,255,219,166,FFDBA6,,0,14,35,0,FVUP3002-4B,Lowe's,
NV119C,3002-4A,Croissant,,Croissant,Croissant,,Oranges,65,253,203,133,FDCB85,,0,20,47,1,FVUP3002-4A,Lowe's,
NV119D,3002-3C,Peach Tea,,Peach Tea,Thé à la pêche,,Oranges,61,255,193,104,FFC168,,0,24,59,0,FVUP3002-3C,Lowe's,
NV119E,3002-3B,Afternoon Tea,,Afternoon Tea,Thé de l’après-midi,,Oranges,53,249,178,78,F9B24E,,0,29,69,2,FVUP3002-3B,Lowe's,
NV119F,3002-3A,Roasted Chestnut,,Roasted Chestnut,Châtaigne rôtie,,Oranges,39,232,150,41,E89629,,0,35,82,9,FVUP3002-3A,Lowe's,
NV119G,8001-19G,Bonfire Glow,,Bonfire Glow,Éclat feu de joie,,Oranges,32,211,137,30,D3891E,,0,35,86,17,FPL12_15,Lowe's,
NV120A,3001-2C,Champagne Tickle,,Champagne Tickle,Touche de champagne,,Yellows,86,253,238,207,FDEECF,,0,6,18,1,FVUP3001-2C,Lowe's,
NV120B,3002-2C,Creamy Oat,,Creamy Oat,Avoine crémeuse,,Yellows,84,255,233,190,FFE9BE,,0,9,25,0,FVUP3002-2C,Lowe's,
NV120C,3002-2B,Peach Tickle,,Peach Tickle,Touche de pêche,,Yellows,79,255,225,156,FFE19C,,0,12,39,0,FVUP3002-2B,Lowe's,
NV120D,3002-1C,Golden Butter,,Golden Butter,Beurre doré,,Yellows,69,255,207,109,FFCF6D,,0,19,57,0,FVUP3002-1C,Lowe's,
NV120E,3002-1B,Chickadee,,Chickadee,Mésange,,Yellows,61,255,192,60,FFC03C,,0,25,76,0,FVUP3002-1B,Lowe's,
NV120F,3010-2,Sunspark,,Sunspark,Étincelle de soleil,,Yellows,59,255,184,1,FFB801,,0,28,100,0,FVUP3010-2,Lowe's,
NV120G,3001-1A,Orange Glow,,Orange Glow,Lueur orange,,Yellows,49,255,165,1,FFA501,,0,35,100,0,FVUP3001-1A,Lowe's,
NV121A,3005-4B,Cuddle,,Cuddle,Câlin,,Yellows,82,253,233,183,FDE9B7,,0,8,28,1,FVUP3005-4B,Lowe's,
NV121B,3003-2B,Sunglow,,Sunglow,Rayon de soleil,,Yellows,79,255,226,152,FFE298,,0,11,40,0,FVUP3003-2B,Lowe's,
NV121C,3003-2A,Honey Glaze,,Honey Glaze,Glaçage au miel,,Yellows,74,255,217,113,FFD971,,0,15,56,0,FVUP3003-2A,Lowe's,
NV121D,3003-1C,Golden Promise,,Golden Promise,Promesse dorée,,Yellows,67,255,205,68,FFCD44,,0,20,73,0,FVUP3003-1C,Lowe's,
NV121E,3004-1B,Golden Spell,,Golden Spell,Sort doré,,Yellows,61,255,193,43,FFC12B,,0,24,83,0,FVUP3004-1B,Lowe's,
NV121F,3004-1A,Golden Treasure,,Golden Treasure,Trésor d'or,,Yellows,58,255,189,39,FFBD27,,0,26,85,0,FVUP3004-1A,Lowe's,
NV121G,3003-1A,Gold Abundance,,Gold Abundance,Abondance d'or,,Yellows,57,255,183,1,FFB701,,0,28,100,0,FVUP3003-1A,Lowe's,
NV122A,3006-4C,Lemon Cream,,Lemon Cream,Crème au citron,,Yellows,85,252,236,196,FCECC4,,0,6,22,1,FVUP3006-4C,Lowe's,
NV122B,3006-4B,Pecan Cream,,Pecan Cream,Crème de pacane,,Yellows,77,247,225,171,F7E1AB,,0,9,31,3,FVUP3006-4B,Lowe's,
NV122C,3006-4A,Late Day Sun,,Late-Day Sun,Soleil de fin de journée,,Yellows,73,248,219,145,F8DB91,,0,12,42,3,FVUP3006-4A,Lowe's,
NV122D,3006-3C,Amber Pearl,,Amber Pearl,Ambre nacré,,Yellows,67,249,210,117,F9D275,,0,16,53,2,FVUP3006-3C,Lowe's,
NV122E,3006-3B,Sweet Lemon,,Sweet Lemon,Citron doux,,Yellows,60,248,196,82,F8C452,,0,21,67,3,FVUP3006-3B,Lowe's,
NV122F,3006-3A,Mustard Glaze,,Mustard Glaze,Glaçage à la moutarde,,Yellows,52,233,183,69,E9B745,,0,21,70,9,FVUP3006-3A,Lowe's,
NV122G,8001-22G,Ripe Banana,,Ripe Banana,Banane mûre,,Yellows,35,196,152,50,C49832,,0,22,74,23,FSW6699,Lowe's,
NV123A,3008-4C,Yellow Bliss,,Yellow Bliss,Joie jaune,,Yellows,86,249,238,201,F9EEC9,,0,4,19,2,FVUP3008-4C,Lowe's,
NV123B,3008-4B,Lemon Butter,,Lemon Butter,Beurre de citron,,Yellows,83,253,234,179,FDEAB3,,0,8,29,1,FVUP3008-4B,Lowe's,
NV123C,3008-2A,Chickery Chick,,Chickery Chick,Poussin poussinet,,Yellows,80,255,230,146,FFE692,,0,10,43,0,FVUP3008-2A,Lowe's,
NV123D,3008-1C,Top Banana,,Top Banana,Meilleure banane,,Yellows,75,255,222,118,FFDE76,,0,13,54,0,FVUP3008-1C,Lowe's,
NV123E,3008-1B,Sweet Mustard,,Sweet Mustard,Moutarde douce,,Yellows,70,255,213,66,FFD542,,0,16,74,0,FVUP3008-1B,Lowe's,
NV123F,3008-1A,Tangy,,Tangy,Acidulé,,Yellows,66,255,206,1,FFCE01,,0,19,100,0,FVUP3008-1A,Lowe's,
NV123G,8001-23G,Illuminate Me,,Illuminate Me,Illuminez-moi,,Yellows,53,239,185,1,EFB901,,0,23,100,6,FNVL1034_7,Lowe's,
NV124A,3007-2C,Summer Morning,,Summer Morning,Matin d'été,,Yellows,87,251,239,198,FBEFC6,,0,5,21,2,FVUP3007-2C,Lowe's,
NV124B,8001-24B,Simon Says,,Simon Says,Simon dit,,Yellows,85,255,237,181,FFEDB5,,0,7,29,0,FNVL1035_2,Lowe's,
NV124C,3007-3C,Island Sun,,Island Sun,Soleil des îles,,Yellows,69,244,215,127,F4D77F,,0,12,48,4,FVUP3007-3C,Lowe's,
NV124D,8001-24D,Seth's Smile,,Seth's Smile,Sourire de Seth,,Yellows,62,232,206,108,E8CE6C,,0,11,53,9,FNVL1035_4,Lowe's,
NV124E,3007-3B,Fall Meadow,,Fall Meadow,Prairie d'automne,,Yellows,57,231,196,85,E7C455,,0,15,63,9,FVUP3007-3B,Lowe's,
NV124F,8001-24F,Nectar,,Nectar,Nectar,,Yellows,56,231,193,72,E7C148,,0,16,69,9,FNVL1035_6,Lowe's,
NV124G,8001-24G,Cabana Glow,,Cabana Glow,Éclat cabana,,Yellows,50,225,184,1,E1B801,,0,18,100,12,FNVL1035_7,Lowe's,
NV125A,6008-9A,Lime Kiss,,Lime Kiss,Baiser à la lime,,Greens,81,242,234,188,F2EABC,,0,3,22,5,FVUP6008-9A,Lowe's,
